sample_id,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,E_ads
s000,1.7789,0.3425,-0.1425,-0.1438,0.7365,0.3414,-0.3843
s001,0.6739,1.0173,-0.4613,-0.147,0.5054,-0.1788,-0.5123
s002,1.7998,1.2264,-0.2134,0.1125,0.8094,-0.1948,-0.4969
s003,1.8963,0.8784,-0.2979,0.37,0.3366,-0.1258,-0.5212
s004,2.195,1.3263,0.5493,0.2108,0.5362,0.5785,-0.3966
s005,1.6041,1.71,0.3041,0.3032,0.5774,0.3637,-0.4553
s006,0.9558,0.792,-0.3963,-0.137,0.101,0.0224,-0.4039
s007,1.2297,0.9293,-0.2276,-0.1131,0.9367,0.3184,-0.4355
s008,0.8423,1.5395,-0.2876,-0.0344,0.9895,0.312,-0.4488
s009,1.8692,1.7328,0.5088,-0.1397,0.0321,0.0524,-0.5154
s010,0.922,1.9029,0.6393,-0.0797,0.6554,0.1165,-0.3067
s011,1.4177,0.7503,-0.1794,0.093,0.2627,0.2677,-0.3187
s012,1.2988,0.6728,0.7968,0.0567,0.0909,-0.1623,-0.3188
s013,1.7549,1.6465,0.0488,-0.2555,0.3816,0.5969,-0.5073
s014,2.4422,1.7633,-0.4851,0.2045,0.6817,0.2296,-0.6821
s015,1.7819,0.4896,0.0652,0.0176,0.9538,0.5007,-0.4301
s016,1.5012,0.6037,0.6864,0.3094,0.2984,0.3112,-0.186
s017,0.8057,1.5963,0.2012,0.245,0.5304,-0.1995,-0.3858
s018,0.539,1.8795,0.6423,0.2822,0.3075,-0.1537,-0.2013
s019,2.3939,0.4456,0.1318,-0.2516,0.7606,0.4127,-0.5641
s020,1.4506,1.2347,-0.1554,0.3107,0.4231,-0.0306,-0.4143
s021,1.9599,0.642,-0.0948,0.3966,0.6499,0.1505,-0.3925
s022,0.742,0.682,-0.0605,0.1118,0.2301,-0.0238,-0.3697
s023,1.7622,0.6892,0.677,0.3017,0.0709,-0.0096,-0.2391
s024,0.9285,0.5249,0.7162,0.0997,0.4727,0.4277,-0.113
s025,0.8808,0.4648,0.0604,-0.0035,0.467,0.3833,-0.2465
s026,2.4683,0.4673,0.0234,-0.0625,0.8617,-0.0011,-0.59
s027,1.3972,1.0172,-0.1379,-0.1251,0.9233,0.1545,-0.4278
s028,1.6007,0.386,0.7991,0.2852,0.969,0.5411,-0.1385
s029,0.8326,1.1256,-0.2221,-0.0193,0.0586,0.1032,-0.3034
s030,1.0304,1.6329,0.0915,-0.0039,0.9573,0.5963,-0.387
s031,1.9368,0.5632,-0.1143,0.3781,0.5792,0.2338,-0.3405
s032,0.6143,1.2931,0.1537,0.2969,0.1574,0.5686,-0.2759
s033,0.8716,1.3116,0.3778,-0.1354,0.1199,0.5122,-0.3384
s034,1.689,1.3529,0.045,0.1086,0.5228,0.5478,-0.4647
s035,1.9324,0.7058,0.0145,0.1702,0.3,0.0529,-0.3786
s036,0.6451,1.0791,0.798,0.3973,0.0733,-0.0295,-0.1696
s037,2.3665,1.7975,0.6431,-0.0413,0.1577,0.467,-0.4362
s038,1.7234,1.9783,0.3502,-0.2945,0.8171,0.0395,-0.552
s039,2.3779,0.5283,-0.3499,-0.2251,0.5532,0.0179,-0.5895
s040,1.9352,0.6461,0.3245,-0.1152,0.4885,0.5243,-0.3314
s041,0.6846,1.0201,-0.1403,-0.2975,0.7711,0.3097,-0.4502
s042,1.9825,1.2379,0.056,-0.2932,0.0752,0.5065,-0.438
s043,1.5912,1.7188,0.2573,-0.1963,0.1274,0.0466,-0.4342
s044,2.0922,1.7632,0.6686,-0.1529,0.2495,-0.1178,-0.4695
