 ++++++++++++++++++++++++++++++++++++++++++++++++++++++
 SELF-CONSISTENT CALCULATION
 ++++++++++++++++++++++++++++++++++++++++++++++++++++++

 ITER   ETOT(eV)       EDIFF(eV)      DRHO       TIME(s)
 CG1    -5.37218e+03   0.00000e+00    2.386e-02  4.21
 CG2    -5.37254e+03  -3.56412e-01    8.721e-03  3.98
 CG3    -5.37257e+03  -2.87632e-02    3.142e-03  3.85
 CG4    -5.37258e+03  -5.12847e-03    1.085e-03  3.92
 CG5    -5.37258e+03  -8.41523e-04    4.216e-04  4.01
 CG6    -5.37258e+03  -1.23456e-04    1.587e-04  3.88
 CG7    -5.37258e+03  -1.87654e-05    5.923e-05  3.95
 CG8    -5.37258e+03  -2.76543e-06    2.147e-05  4.02
 CG9    -5.37258e+03  -3.45678e-07    7.893e-06  3.91

 charge density convergence is achieved
 final etot is -5372.57812 eV

 EFERMI = 0.25213 Ry = 3.43001 eV

 !FINAL_ETOT_IS -5372.578124 eV
