# Radial Distribution Function g(r) for Zn-O pair
# System: 1 mol/L ZnSO4 aqueous solution (30 Zn2+ + 30 SO4^2- + 1660 H2O)
# Simulation: DPA-MD, NVT 300 K, 10 ps production after 2 ps equilibration
# Number density of O (water + sulfate): rho_O = 0.033 atoms/Angstrom^3
# Columns: r(Angstrom)  g_Zn-O(r)
0.0000  0.000000
0.0201  0.000000
0.0401  0.000000
0.0602  0.000000
0.0802  0.000000
0.1003  0.000000
0.1203  0.000000
0.1404  0.000000
0.1604  0.000000
0.1805  0.000000
0.2005  0.000000
0.2206  0.000000
0.2406  0.000000
0.2607  0.000000
0.2807  0.000000
0.3008  0.000000
0.3208  0.000000
0.3409  0.000000
0.3609  0.000000
0.3810  0.000000
0.4010  0.000000
0.4211  0.000000
0.4411  0.000000
0.4612  0.000000
0.4812  0.000000
0.5013  0.000000
0.5213  0.000000
0.5414  0.000000
0.5614  0.000000
0.5815  0.000000
0.6015  0.000000
0.6216  0.000000
0.6416  0.000000
0.6617  0.000000
0.6817  0.000000
0.7018  0.000000
0.7218  0.000000
0.7419  0.000000
0.7619  0.000000
0.7820  0.000000
0.8020  0.000000
0.8221  0.000000
0.8421  0.000000
0.8622  0.000000
0.8822  0.000000
0.9023  0.000000
0.9223  0.000000
0.9424  0.000000
0.9624  0.000000
0.9825  0.000000
1.0025  0.000000
1.0226  0.000000
1.0426  0.000000
1.0627  0.000000
1.0827  0.000000
1.1028  0.000000
1.1228  0.000000
1.1429  0.000000
1.1629  0.000000
1.1830  0.000000
1.2030  0.000000
1.2231  0.000000
1.2431  0.000000
1.2632  0.000000
1.2832  0.000000
1.3033  0.000000
1.3233  0.000000
1.3434  0.000000
1.3634  0.000000
1.3835  0.000000
1.4035  0.000000
1.4236  0.000000
1.4436  0.000000
1.4637  0.000000
1.4837  0.000000
1.5038  1.024658
1.5238  1.002613
1.5439  0.991035
1.5639  1.002767
1.5840  0.940412
1.6040  0.993512
1.6241  1.010974
1.6441  1.044973
1.6642  0.985946
1.6842  0.979117
1.7043  0.992254
1.7243  1.042674
1.7444  1.040284
1.7644  1.042547
1.7845  1.123239
1.8045  1.194074
1.8246  1.354564
1.8446  1.511360
1.8647  1.826724
1.8847  2.250860
1.9048  2.786700
1.9248  3.558393
1.9449  4.418657
1.9649  5.383475
1.9850  6.404096
2.0050  7.374275
2.0251  8.296769
2.0451  8.987856
2.0652  9.382862
2.0852  9.483576
2.1053  9.245079
2.1253  8.727099
2.1454  7.870078
2.1654  6.909332
2.1855  5.871202
2.2055  4.807955
2.2256  3.943948
2.2456  3.155889
2.2657  2.586195
2.2857  2.012023
2.3058  1.663785
2.3258  1.398581
2.3459  1.191763
2.3659  1.146789
2.3860  1.059288
2.4060  1.007864
2.4261  0.916349
2.4461  0.949757
2.4662  0.829324
2.4862  0.849393
2.5063  0.853000
2.5263  0.707535
2.5464  0.664831
2.5664  0.624765
2.5865  0.543360
2.6065  0.447201
2.6266  0.431836
2.6466  0.337270
2.6667  0.328619
2.6867  0.240549
2.7068  0.279063
2.7268  0.186024
2.7469  0.190545
2.7669  0.229521
2.7870  0.187063
2.8070  0.262661
2.8271  0.338240
2.8471  0.303191
2.8672  0.416076
2.8872  0.481582
2.9073  0.562061
2.9273  0.565554
2.9474  0.624347
2.9674  0.736598
2.9875  0.781412
3.0075  0.825528
3.0276  0.867647
3.0476  0.869958
3.0677  0.924700
3.0877  0.948763
3.1078  0.936345
3.1278  1.027867
3.1479  0.997279
3.1679  0.956238
3.1880  1.018954
3.2080  0.976213
3.2281  1.034647
3.2481  1.051157
3.2682  0.997266
3.2882  1.056689
3.3083  1.046739
3.3283  1.066483
3.3484  1.107301
3.3684  1.052927
3.3885  1.049084
3.4085  1.058135
3.4286  1.075390
3.4486  1.114720
3.4687  1.146765
3.4887  1.166861
3.5088  1.208135
3.5288  1.211390
3.5489  1.285383
3.5689  1.267867
3.5890  1.394829
3.6090  1.372903
3.6291  1.372885
3.6491  1.414523
3.6692  1.512737
3.6892  1.546658
3.7093  1.633235
3.7293  1.687625
3.7494  1.735758
3.7694  1.779630
3.7895  1.828865
3.8095  1.931921
3.8296  2.043226
3.8496  2.096810
3.8697  2.125877
3.8897  2.240644
3.9098  2.317841
3.9298  2.348505
3.9499  2.445538
3.9699  2.505007
3.9900  2.527013
4.0100  2.625091
4.0301  2.678599
4.0501  2.735456
4.0702  2.769009
4.0902  2.723292
4.1103  2.756154
4.1303  2.811584
4.1504  2.815412
4.1704  2.811284
4.1905  2.899273
4.2105  2.780863
4.2306  2.770298
4.2506  2.730158
4.2707  2.679648
4.2907  2.603007
4.3108  2.581980
4.3308  2.477811
4.3509  2.431410
4.3709  2.357929
4.3910  2.306115
4.4110  2.302201
4.4311  2.104506
4.4511  2.108239
4.4712  1.966429
4.4912  1.928470
4.5113  1.904347
4.5313  1.804404
4.5514  1.703142
4.5714  1.649605
4.5915  1.629953
4.6115  1.529323
4.6316  1.502757
4.6516  1.446151
4.6717  1.377319
4.6917  1.416853
4.7118  1.330776
4.7318  1.213716
4.7519  1.246159
4.7719  1.190055
4.7920  1.207915
4.8120  1.133914
4.8321  1.132321
4.8521  1.131514
4.8722  1.125265
4.8922  1.048339
4.9123  1.061298
4.9323  1.045810
4.9524  1.030740
4.9724  1.094969
4.9925  1.047045
5.0125  0.991033
5.0326  1.051297
5.0526  1.083141
5.0727  1.046867
5.0927  0.967330
5.1128  0.995915
5.1328  1.046415
5.1529  0.985509
5.1729  1.018692
5.1930  1.027511
5.2130  0.975571
5.2331  1.000875
5.2531  0.904847
5.2732  0.970896
5.2932  0.993687
5.3133  0.963544
5.3333  1.049725
5.3534  0.957673
5.3734  0.987239
5.3935  1.004257
5.4135  1.043491
5.4336  0.957115
5.4536  1.035038
5.4737  1.000414
5.4937  0.970634
5.5138  1.013922
5.5338  1.006015
5.5539  0.982025
5.5739  1.002117
5.5940  0.988457
5.6140  1.003418
5.6341  1.019873
5.6541  1.047587
5.6742  0.962870
5.6942  1.063994
5.7143  0.941440
5.7343  0.995448
5.7544  1.017651
5.7744  1.008431
5.7945  0.981320
5.8145  0.993757
5.8346  0.985210
5.8546  0.982319
5.8747  1.025488
5.8947  1.010711
5.9148  0.979213
5.9348  1.026988
5.9549  1.009219
5.9749  1.024386
5.9950  1.018889
6.0150  0.975130
6.0351  0.983195
6.0551  1.022419
6.0752  1.018311
6.0952  0.999373
6.1153  1.003520
6.1353  1.038330
6.1554  0.982253
6.1754  1.016413
6.1955  0.993934
6.2155  0.993470
6.2356  1.032963
6.2556  1.024762
6.2757  1.024405
6.2957  1.039164
6.3158  1.000630
6.3358  1.020459
6.3559  0.990692
6.3759  1.009725
6.3960  0.996096
6.4160  1.002910
6.4361  1.017855
6.4561  0.975453
6.4762  1.062772
6.4962  0.969819
6.5163  0.963574
6.5363  1.034743
6.5564  1.023750
6.5764  1.018724
6.5965  1.018850
6.6165  0.999633
6.6366  0.973082
6.6566  1.002274
6.6767  0.979685
6.6967  1.029254
6.7168  0.995588
6.7368  0.975235
6.7569  0.990358
6.7769  1.012388
6.7970  0.983088
6.8170  0.975333
6.8371  1.007311
6.8571  1.007349
6.8772  0.984792
6.8972  0.985869
6.9173  1.006961
6.9373  0.956557
6.9574  0.957776
6.9774  0.978447
6.9975  0.993597
7.0175  1.009327
7.0376  1.044261
7.0576  1.025730
7.0777  0.995202
7.0977  0.999430
7.1178  0.969924
7.1378  0.999445
7.1579  0.991340
7.1779  1.009682
7.1980  0.975183
7.2180  1.015580
7.2381  1.045982
7.2581  0.996737
7.2782  1.012051
7.2982  1.020704
7.3183  0.987963
7.3383  1.006723
7.3584  1.000378
7.3784  1.002930
7.3985  0.976810
7.4185  1.000735
7.4386  1.014940
7.4586  1.043534
7.4787  1.028778
7.4987  1.064595
7.5188  0.976980
7.5388  1.026170
7.5589  1.005500
7.5789  1.065694
7.5990  0.975751
7.6190  0.974808
7.6391  0.982018
7.6591  0.936283
7.6792  0.984227
7.6992  0.977226
7.7193  1.004512
7.7393  1.010253
7.7594  1.056285
7.7794  1.028513
7.7995  0.982693
7.8195  0.973048
7.8396  1.014758
7.8596  0.960393
7.8797  1.054944
7.8997  1.035383
7.9198  0.985925
7.9398  0.948606
7.9599  1.040616
7.9799  0.996564
8.0000  1.037134
