molecule_id,name,smiles,logS_mol_L,source,provenance,curation_comment
BENZENE,Benzene,c1ccccc1,-2.13,BigSolDB 2.0,primary literature assay,measured shake-flask value curated from source paper
PHENOL,Phenol,c1ccc(cc1)O,-0.04,BigSolDB 2.0,primary literature assay,measured value at room temperature
ANILINE,Aniline,c1ccc(cc1)N,-0.85,BigSolDB 2.0,primary literature assay,measured aqueous solubility
ACETONE,Acetone,CC(=O)C,0.87,BigSolDB 2.0,primary literature assay,reported as miscibility-limited experimental logS
NAPHTHALENE,Naphthalene,c1ccc2ccccc2c1,-3.61,BigSolDB 2.0,primary literature assay,measured low-solubility aromatic record
TOLUENE,Toluene,Cc1ccccc1,-2.73,AqSolDB,curated literature measurement,experimental logS retained with bibliographic source
ASPIRIN,Aspirin,CC(=O)Oc1ccccc1C(=O)O,-2.00,GSE worksheet,Hansch-style General Solubility Equation,backfilled from mp/logP estimate when no measurement was available
CAFFEINE,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.55,GSE worksheet,Hansch-style General Solubility Equation,computed estimate generated by curation script
IBUPROFEN,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-3.50,internal_qspr_v3,model output,predicted from fragment descriptors during dataset expansion
ANTHRACENE,Anthracene,c1ccc2cc3ccccc3cc2c1,-5.20,secondary compilation,temperature extrapolation,derived from solubility-temperature fit rather than direct assay
